id,signal_type,fraud_category,severity,severity_encoded,account_age_days,related_entity_count,fraudulent
314,duplicate_email,account,critical,4,218,29,1
315,inactive_spike,account,low,1,701,22,1
316,unverified_provider,account,low,1,133,16,0
317,rejected_claims_volume,claims,medium,2,52,12,1
318,lead_spike,claims,low,1,301,21,1
319,lead_spike,catalog,high,3,54,23,0
320,duplicate_email,account,low,1,399,10,1
321,other,claims,critical,4,624,2,1
322,lead_spike,catalog,medium,2,149,26,1
323,rejected_claims_volume,claims,critical,4,489,13,1
324,other,catalog,high,3,300,9,0
325,reject_rate,commerce,low,1,852,5,0
326,lead_spike,commerce,medium,2,386,13,1
327,stale_pending_policies,claims,high,3,706,1,1
328,pending_purchases,commerce,low,1,296,27,1
329,claim_burst,claims,critical,4,356,18,1
330,reject_rate,catalog,medium,2,807,25,1
331,claim_burst,claims,low,1,694,13,1
332,reject_rate,claims,low,1,811,13,1
333,inactive_spike,account,high,3,791,3,1
334,reject_rate,commerce,high,3,489,17,1
335,inactive_spike,claims,low,1,186,26,1
336,lead_spike,commerce,high,3,413,25,1
337,claim_burst,claims,critical,4,384,28,1
338,reject_rate,catalog,medium,2,324,20,0
339,pending_purchases,commerce,low,1,97,2,0
340,stale_pending_policies,catalog,medium,2,268,30,1
341,unverified_provider,catalog,critical,4,786,19,1
342,claim_burst,claims,low,1,347,7,1
343,unverified_provider,catalog,low,1,36,18,1
344,lead_spike,catalog,low,1,884,20,1
345,pending_purchases,account,low,1,264,11,0
346,other,account,critical,4,188,15,1
347,other,commerce,medium,2,177,2,0
348,duplicate_email,commerce,low,1,858,30,0
349,duplicate_email,catalog,medium,2,326,25,0
350,pending_purchases,claims,high,3,604,19,1
351,inactive_spike,account,high,3,264,13,1
352,pending_purchases,catalog,critical,4,245,26,1
353,inactive_spike,account,medium,2,819,2,0
354,unverified_provider,claims,high,3,768,5,1
355,reject_rate,account,critical,4,863,1,1
356,other,catalog,high,3,843,8,1
357,unverified_provider,commerce,medium,2,754,2,0
358,stale_pending_policies,catalog,medium,2,450,28,1
359,pending_purchases,catalog,medium,2,27,9,0
360,rejected_claims_volume,commerce,medium,2,267,16,1
361,reject_rate,catalog,low,1,158,17,0
362,rejected_claims_volume,claims,high,3,123,9,1
363,pending_purchases,commerce,high,3,245,30,1
364,rejected_claims_volume,catalog,medium,2,59,27,1
365,inactive_spike,commerce,low,1,453,26,1
366,rejected_claims_volume,claims,high,3,191,12,1
367,claim_burst,catalog,medium,2,142,27,1
368,pending_purchases,claims,medium,2,616,3,0
369,reject_rate,catalog,medium,2,211,5,0
370,rejected_claims_volume,claims,medium,2,11,3,0
371,reject_rate,catalog,low,1,531,26,1
372,stale_pending_policies,commerce,critical,4,93,1,1
373,unverified_provider,catalog,high,3,255,6,1
374,duplicate_email,commerce,high,3,589,20,1
375,pending_purchases,commerce,critical,4,529,3,1
376,stale_pending_policies,claims,high,3,798,23,1
377,unverified_provider,account,low,1,749,16,1
378,inactive_spike,account,medium,2,22,8,0
379,rejected_claims_volume,claims,medium,2,106,10,0
380,duplicate_email,account,medium,2,268,1,1
381,stale_pending_policies,catalog,critical,4,106,12,1
382,duplicate_email,claims,low,1,477,16,1
383,unverified_provider,commerce,low,1,416,29,1
384,reject_rate,claims,medium,2,685,19,1
385,inactive_spike,catalog,low,1,651,13,1
386,inactive_spike,account,low,1,796,12,1
387,stale_pending_policies,claims,critical,4,864,19,1
388,stale_pending_policies,commerce,low,1,333,17,1
389,claim_burst,commerce,critical,4,680,21,0
390,inactive_spike,account,low,1,333,14,1
391,unverified_provider,account,critical,4,407,25,1
392,stale_pending_policies,catalog,low,1,36,28,1
393,reject_rate,commerce,high,3,644,18,1
394,claim_burst,account,high,3,125,17,0
395,other,claims,high,3,116,10,1
396,unverified_provider,claims,high,3,87,15,1
397,rejected_claims_volume,claims,medium,2,301,30,1
398,claim_burst,commerce,low,1,759,18,1
399,stale_pending_policies,catalog,medium,2,666,13,1
400,pending_purchases,commerce,high,3,628,16,1
401,duplicate_email,commerce,high,3,227,7,1
402,other,catalog,critical,4,13,30,1
403,claim_burst,claims,high,3,504,9,1
404,claim_burst,claims,low,1,163,18,0
405,pending_purchases,commerce,low,1,530,13,1
406,lead_spike,commerce,low,1,534,8,1
407,claim_burst,claims,high,3,144,22,1
408,stale_pending_policies,commerce,low,1,757,28,1
409,claim_burst,catalog,medium,2,423,28,1
410,reject_rate,catalog,low,1,510,13,1
411,claim_burst,claims,high,3,894,20,1
412,reject_rate,catalog,critical,4,295,24,1
413,pending_purchases,commerce,critical,4,664,11,0
414,pending_purchases,catalog,high,3,189,18,1
415,rejected_claims_volume,claims,critical,4,596,8,1
416,rejected_claims_volume,commerce,medium,2,334,7,0
417,duplicate_email,account,high,3,579,29,1
418,pending_purchases,commerce,critical,4,530,27,1
419,pending_purchases,catalog,high,3,42,20,1
420,other,catalog,low,1,538,8,0
421,pending_purchases,commerce,medium,2,193,14,1
422,reject_rate,catalog,high,3,709,17,1
423,duplicate_email,account,high,3,376,3,1
424,unverified_provider,claims,high,3,707,11,1
425,stale_pending_policies,catalog,high,3,836,17,1
426,claim_burst,claims,low,1,646,19,1
427,pending_purchases,commerce,low,1,709,14,0
428,unverified_provider,account,low,1,312,13,1
429,rejected_claims_volume,account,medium,2,180,16,1
430,reject_rate,commerce,medium,2,589,7,0
431,duplicate_email,account,low,1,30,4,0
432,reject_rate,catalog,critical,4,826,26,0
433,rejected_claims_volume,account,high,3,148,23,1
434,inactive_spike,commerce,high,3,644,4,1
435,unverified_provider,account,critical,4,639,13,0
436,reject_rate,claims,low,1,451,2,0
437,claim_burst,claims,medium,2,602,28,1
438,reject_rate,account,critical,4,311,14,1
439,other,catalog,low,1,249,22,1
440,claim_burst,claims,critical,4,897,23,1
441,unverified_provider,claims,medium,2,367,13,1
442,pending_purchases,commerce,high,3,118,11,1
443,rejected_claims_volume,catalog,low,1,127,14,1
444,pending_purchases,commerce,critical,4,196,15,1
445,rejected_claims_volume,claims,high,3,681,1,1
446,claim_burst,claims,medium,2,95,7,1
447,rejected_claims_volume,claims,critical,4,857,26,1
448,claim_burst,claims,medium,2,740,13,1
449,claim_burst,claims,critical,4,517,7,1
450,stale_pending_policies,catalog,high,3,611,29,1
451,pending_purchases,commerce,critical,4,623,17,1
452,rejected_claims_volume,account,low,1,556,28,1
453,duplicate_email,catalog,medium,2,319,1,1
454,pending_purchases,account,medium,2,329,7,0
455,duplicate_email,account,high,3,825,17,1
456,duplicate_email,claims,high,3,91,8,1
457,claim_burst,catalog,critical,4,865,30,1
458,other,claims,medium,2,31,12,1
459,reject_rate,commerce,low,1,675,23,1
460,other,claims,critical,4,361,29,1
461,claim_burst,claims,high,3,624,24,1
462,inactive_spike,account,medium,2,442,7,0
463,claim_burst,claims,low,1,566,10,1
464,rejected_claims_volume,claims,medium,2,584,16,1
465,reject_rate,commerce,high,3,1,4,1
466,reject_rate,commerce,low,1,251,22,1
467,inactive_spike,commerce,high,3,768,30,1
468,other,catalog,medium,2,288,17,1
469,lead_spike,catalog,high,3,709,17,1
470,stale_pending_policies,catalog,medium,2,439,22,1
471,rejected_claims_volume,claims,medium,2,45,23,1
472,inactive_spike,commerce,medium,2,800,21,1
473,claim_burst,commerce,low,1,173,12,1
474,unverified_provider,account,high,3,141,5,1
475,stale_pending_policies,catalog,medium,2,723,8,1
476,unverified_provider,catalog,high,3,715,10,1
477,rejected_claims_volume,claims,medium,2,342,21,1
478,reject_rate,catalog,medium,2,694,22,1
479,reject_rate,catalog,critical,4,852,7,1
480,duplicate_email,commerce,critical,4,212,2,0
481,rejected_claims_volume,commerce,low,1,719,10,0
482,duplicate_email,account,critical,4,480,19,1
483,rejected_claims_volume,claims,low,1,12,15,1
484,unverified_provider,catalog,high,3,757,19,1
485,other,catalog,critical,4,195,26,1
486,unverified_provider,account,low,1,660,10,0
487,lead_spike,commerce,low,1,142,24,0
488,reject_rate,catalog,high,3,377,6,1
489,unverified_provider,claims,high,3,761,20,1
490,pending_purchases,claims,high,3,328,8,1
491,stale_pending_policies,commerce,high,3,246,2,0
492,reject_rate,catalog,medium,2,507,14,1
493,other,claims,low,1,146,23,1
494,rejected_claims_volume,claims,critical,4,92,2,1
495,inactive_spike,catalog,high,3,3,2,1
496,inactive_spike,catalog,low,1,678,2,0
497,reject_rate,catalog,low,1,450,1,0
498,reject_rate,claims,medium,2,388,10,1
499,pending_purchases,commerce,critical,4,88,18,1
500,pending_purchases,catalog,medium,2,411,20,1
501,pending_purchases,account,high,3,624,22,1
502,other,catalog,critical,4,673,21,1
503,pending_purchases,commerce,low,1,869,7,0
504,stale_pending_policies,catalog,medium,2,677,19,1
505,pending_purchases,catalog,medium,2,579,15,1
506,unverified_provider,account,medium,2,562,24,1
507,lead_spike,commerce,medium,2,544,22,1
508,claim_burst,catalog,critical,4,232,18,1
509,pending_purchases,account,low,1,872,14,1
510,unverified_provider,catalog,low,1,642,24,1
511,reject_rate,catalog,critical,4,558,6,1
512,rejected_claims_volume,claims,low,1,141,12,1
513,inactive_spike,account,low,1,382,2,1
514,rejected_claims_volume,claims,low,1,725,5,0
515,claim_burst,account,medium,2,577,4,1
516,inactive_spike,commerce,high,3,824,25,1
517,stale_pending_policies,account,low,1,246,12,1
518,lead_spike,commerce,low,1,837,20,1
519,pending_purchases,commerce,low,1,35,30,1
520,claim_burst,claims,medium,2,711,15,0
521,unverified_provider,catalog,low,1,500,4,1
522,inactive_spike,commerce,high,3,895,22,1
523,rejected_claims_volume,claims,high,3,552,23,1
524,other,commerce,low,1,26,11,0
525,stale_pending_policies,catalog,low,1,820,27,0
526,rejected_claims_volume,claims,critical,4,864,16,1
527,pending_purchases,catalog,low,1,370,11,0
528,reject_rate,commerce,low,1,217,6,0
529,rejected_claims_volume,catalog,critical,4,398,30,1
530,unverified_provider,account,critical,4,342,8,0
531,reject_rate,catalog,low,1,647,5,0
532,claim_burst,claims,high,3,66,17,1
533,pending_purchases,commerce,medium,2,716,2,0
534,stale_pending_policies,account,critical,4,649,19,1
535,stale_pending_policies,commerce,medium,2,894,26,1
536,unverified_provider,account,high,3,758,12,1
537,claim_burst,claims,critical,4,343,2,1
538,reject_rate,commerce,critical,4,516,12,1
539,other,claims,medium,2,139,7,1
540,pending_purchases,catalog,critical,4,583,25,1
541,rejected_claims_volume,claims,medium,2,309,24,1
542,unverified_provider,commerce,medium,2,598,30,1
543,claim_burst,claims,high,3,480,12,1
544,reject_rate,catalog,low,1,859,16,1
545,claim_burst,claims,high,3,560,1,1
546,claim_burst,commerce,low,1,224,2,1
547,reject_rate,claims,high,3,885,17,1
548,claim_burst,claims,low,1,133,20,0
549,lead_spike,account,high,3,737,5,0
550,pending_purchases,commerce,low,1,656,11,0
551,claim_burst,claims,low,1,665,16,1
552,inactive_spike,commerce,critical,4,816,2,1
553,lead_spike,commerce,critical,4,264,15,1
554,reject_rate,account,high,3,58,14,1
555,inactive_spike,commerce,low,1,160,7,0
556,unverified_provider,account,high,3,434,12,1
557,pending_purchases,claims,high,3,236,24,1
558,reject_rate,catalog,high,3,668,25,1
559,stale_pending_policies,catalog,high,3,536,17,1
560,claim_burst,claims,critical,4,103,21,1
561,inactive_spike,commerce,medium,2,411,25,1
562,claim_burst,account,low,1,62,18,1
563,claim_burst,claims,high,3,756,5,1
564,rejected_claims_volume,claims,high,3,797,23,1
565,inactive_spike,catalog,high,3,820,13,1
566,stale_pending_policies,commerce,low,1,111,22,1
567,lead_spike,account,critical,4,691,28,1
568,rejected_claims_volume,claims,critical,4,385,22,1
569,duplicate_email,claims,low,1,269,23,1
570,claim_burst,claims,high,3,778,14,1
571,reject_rate,commerce,critical,4,222,19,1
572,reject_rate,catalog,high,3,770,5,1
573,unverified_provider,commerce,low,1,498,28,1
574,claim_burst,claims,critical,4,218,19,0
575,stale_pending_policies,claims,high,3,48,25,1
576,inactive_spike,catalog,medium,2,305,22,0
577,duplicate_email,account,low,1,137,30,1
578,unverified_provider,commerce,medium,2,476,22,1
579,rejected_claims_volume,catalog,critical,4,344,29,0
580,inactive_spike,claims,low,1,39,5,0
581,rejected_claims_volume,claims,low,1,746,1,1
582,duplicate_email,commerce,low,1,124,16,1
583,duplicate_email,catalog,medium,2,702,18,1
584,inactive_spike,account,critical,4,80,12,1
585,lead_spike,claims,high,3,721,6,0
586,duplicate_email,commerce,low,1,202,17,0
587,claim_burst,commerce,high,3,705,2,1
588,pending_purchases,commerce,critical,4,896,24,1
589,pending_purchases,catalog,critical,4,393,5,1
590,reject_rate,catalog,medium,2,651,1,0
591,lead_spike,commerce,critical,4,247,27,1
592,duplicate_email,account,low,1,734,2,1
593,lead_spike,commerce,critical,4,563,22,1
594,inactive_spike,account,critical,4,523,11,1
595,claim_burst,catalog,critical,4,364,23,0
596,lead_spike,commerce,high,3,74,21,1
597,reject_rate,claims,high,3,269,30,1
598,pending_purchases,commerce,critical,4,585,8,1
599,reject_rate,account,high,3,537,7,1
600,claim_burst,commerce,medium,2,157,27,1
601,rejected_claims_volume,claims,low,1,330,13,1
602,unverified_provider,catalog,medium,2,720,9,0
603,rejected_claims_volume,commerce,high,3,464,22,1
604,rejected_claims_volume,catalog,critical,4,712,4,1
605,reject_rate,catalog,medium,2,778,17,1
606,claim_burst,claims,medium,2,638,12,1
607,claim_burst,catalog,medium,2,1,19,1
608,claim_burst,claims,high,3,332,9,1
609,unverified_provider,catalog,critical,4,880,3,1
610,other,catalog,high,3,633,25,1
611,pending_purchases,account,critical,4,376,2,1
612,other,commerce,critical,4,664,20,1
613,claim_burst,commerce,medium,2,634,7,1
614,duplicate_email,commerce,medium,2,338,28,0
