id,claim_type,policy_category,city,city_region,estimated_amount_pkr,description_length,days_incident_to_submit,amount_to_premium_ratio,user_claims_7d,user_claims_30d,user_rejected_claims,status,high_risk
37,theft,pet,rawalpindi,punjab,693742,61,28,41.4793,2,6,0,rejected,1
38,life,pet,gujranwala,punjab,75063,58,33,7.8182,1,3,0,in_review,1
39,home,life,sukkur,sindh,17565,56,44,4.2428,1,1,0,in_review,1
40,auto,home,multan,punjab,17304,64,44,1.1334,2,8,0,submitted,0
41,home,life,quetta,balochistan,22132,53,34,1.55,0,2,0,approved,1
42,auto,auto,islamabad,islamabad,63964,64,37,3.804,0,3,0,submitted,1
43,pet_care,pet,sialkot,punjab,32676,44,24,3.8739,1,7,0,approved,0
44,pet,home,sialkot,punjab,104784,64,41,11.844,1,2,0,approved,1
45,medical,auto,hyderabad,sindh,33772,56,23,1.441,1,6,1,rejected,1
46,theft,others,lahore,punjab,129625,61,24,11.0583,3,4,0,rejected,1
47,pet_care,others,quetta,balochistan,104159,64,2,19.0558,0,5,0,in_review,1
48,auto,pet,faisalabad,punjab,205656,56,27,13.0949,1,6,0,submitted,0
49,other,life,sialkot,punjab,79162,61,29,8.2944,0,3,1,rejected,1
50,home,life,sialkot,punjab,259134,64,17,24.3022,0,1,0,submitted,0
51,medical,pet,abbottabad,kpk,33913,44,5,1.3661,0,5,0,in_review,0
52,pet,life,karachi,sindh,15074,44,17,0.7716,0,0,1,in_review,0
53,pet,auto,multan,punjab,60426,44,37,7.0345,4,10,0,rejected,1
54,pet_care,home,mardan,kpk,13743,58,8,0.7232,0,0,0,submitted,0
55,home,auto,lahore,punjab,133773,61,4,13.688,0,4,0,approved,0
56,other,life,faisalabad,punjab,79573,61,14,8.2613,0,3,0,submitted,0
57,other,home,peshawar,kpk,9760,53,10,2.0543,0,0,0,submitted,0
58,other,pet,gujranwala,punjab,8823,58,44,3.4344,0,1,2,rejected,1
59,pet,auto,abbottabad,kpk,11122,44,36,1.7427,0,3,0,submitted,1
60,pet,others,hyderabad,sindh,31105,64,16,1.9632,0,5,1,approved,0
61,pet_care,others,lahore,punjab,31866,56,17,4.4014,4,7,0,submitted,1
62,life,life,karachi,sindh,26673,64,10,2.1474,0,3,0,submitted,0
63,pet,home,hyderabad,sindh,23785,64,25,5.4242,1,5,0,approved,0
64,home,others,quetta,balochistan,81369,44,13,4.5626,0,2,0,submitted,0
65,other,auto,mardan,kpk,30235,58,7,4.5201,3,8,1,submitted,1
66,pet_care,others,mardan,kpk,28222,53,30,2.6983,0,1,0,rejected,1
67,pet_care,pet,sialkot,punjab,310978,58,37,17.1461,2,5,0,in_review,1
68,pet,pet,hyderabad,sindh,18890,64,26,1.5684,0,3,1,submitted,0
69,damage,pet,lahore,punjab,36630,58,6,6.4993,0,3,0,rejected,1
70,damage,home,hyderabad,sindh,16136,45,41,1.5844,2,8,0,submitted,1
71,life,others,lahore,punjab,71190,45,6,3.2758,0,5,0,approved,1
72,accident,life,sialkot,punjab,31520,56,26,2.287,0,0,0,submitted,0
73,medical,pet,peshawar,kpk,11591,44,29,1.8728,1,7,0,in_review,0
74,damage,home,hyderabad,sindh,33007,58,24,2.574,0,3,0,in_review,0
75,pet_care,home,islamabad,islamabad,30878,64,43,1.3386,2,7,0,in_review,1
76,medical,others,quetta,balochistan,21253,56,16,1.6293,1,6,0,in_review,0
77,accident,others,sialkot,punjab,14797,56,26,2.5486,0,6,0,in_review,0
78,pet_care,auto,gujranwala,punjab,101092,45,21,5.8472,0,0,0,rejected,1
79,auto,others,sialkot,punjab,40278,44,43,9.033,1,7,0,in_review,1
80,medical,pet,lahore,punjab,140451,53,39,6.4424,1,6,1,in_review,1
81,theft,auto,lahore,punjab,20023,53,6,7.3641,2,3,0,in_review,0
82,pet,pet,peshawar,kpk,203709,61,31,31.039,3,5,0,in_review,1
83,life,auto,islamabad,islamabad,804894,64,22,60.1385,0,1,3,submitted,0
84,medical,others,lahore,punjab,65211,53,8,20.656,0,6,0,rejected,1
85,medical,life,quetta,balochistan,109432,56,17,17.2742,4,8,0,rejected,1
86,accident,auto,lahore,punjab,65350,64,20,4.9365,0,0,0,submitted,0
87,theft,pet,hyderabad,sindh,37158,53,32,2.7807,3,3,1,in_review,1
88,accident,home,hyderabad,sindh,31964,58,45,2.1804,0,0,0,rejected,0
89,pet_care,others,abbottabad,kpk,40564,44,38,1.9614,0,4,0,approved,1
90,pet,auto,karachi,sindh,100932,61,29,6.1937,0,0,0,in_review,0
91,home,auto,abbottabad,kpk,257491,64,35,15.111,1,5,0,approved,1
92,auto,home,gujranwala,punjab,26290,53,32,1.2416,0,3,0,approved,1
93,pet,life,faisalabad,punjab,65740,64,35,6.1855,1,6,1,in_review,0
94,pet_care,life,sialkot,punjab,43083,64,9,3.3136,0,4,0,submitted,0
95,damage,life,gujranwala,punjab,97585,64,5,8.0456,0,6,0,approved,0
96,auto,pet,peshawar,kpk,30671,45,32,1.9189,0,0,0,submitted,1
97,pet_care,home,multan,punjab,209036,64,18,14.4652,0,3,1,rejected,1
98,pet,auto,sukkur,sindh,47771,61,45,2.4117,0,3,0,in_review,1
99,other,pet,islamabad,islamabad,73343,61,37,3.0437,0,3,1,in_review,1
100,damage,home,sukkur,sindh,10763,64,22,0.4838,1,7,0,rejected,1
101,damage,life,multan,punjab,70217,45,41,9.7727,0,6,0,submitted,1
102,other,pet,abbottabad,kpk,21879,58,30,1.0941,1,7,0,approved,0
103,theft,life,hyderabad,sindh,11720,45,18,0.7187,1,7,0,submitted,0
104,pet,home,hyderabad,sindh,51304,56,30,2.5358,3,6,0,in_review,1
105,theft,others,abbottabad,kpk,47406,61,18,6.6265,0,2,0,approved,0
106,home,home,sialkot,punjab,42019,56,16,9.1425,0,4,0,in_review,0
107,auto,auto,peshawar,kpk,96712,64,24,3.9112,2,7,1,approved,0
108,auto,others,sialkot,punjab,28034,64,13,13.3686,3,6,0,rejected,1
109,pet_care,home,sukkur,sindh,12380,56,39,0.6452,1,2,0,rejected,1
110,accident,pet,sialkot,punjab,72375,53,28,3.0586,0,2,3,submitted,0
111,medical,life,abbottabad,kpk,145719,61,18,7.217,0,3,3,rejected,1
112,damage,life,lahore,punjab,34625,45,6,1.5382,0,6,0,submitted,0
113,damage,pet,faisalabad,punjab,113089,64,25,12.8876,0,0,0,approved,0
114,theft,life,quetta,balochistan,16570,56,30,2.6364,1,4,0,approved,0
115,accident,life,multan,punjab,47870,61,33,7.4809,0,2,0,approved,0
116,auto,others,hyderabad,sindh,42271,53,32,11.8806,1,3,0,in_review,1
117,auto,auto,abbottabad,kpk,8880,64,32,0.3796,0,3,0,submitted,1
118,pet_care,home,sialkot,punjab,14805,45,40,3.9873,1,6,1,rejected,0
119,pet,life,islamabad,islamabad,30354,56,40,1.3453,2,2,1,submitted,0
120,medical,home,quetta,balochistan,86709,61,19,10.7901,4,8,0,approved,1
121,medical,life,sialkot,punjab,84574,64,7,27.5845,0,3,1,submitted,0
122,damage,pet,mardan,kpk,13221,45,17,0.7427,1,1,0,rejected,1
123,home,home,faisalabad,punjab,51961,61,38,4.2434,0,3,0,approved,1
124,home,others,karachi,sindh,101995,45,3,9.7175,1,4,0,rejected,1
125,damage,others,abbottabad,kpk,71583,64,24,4.514,1,6,0,in_review,0
126,theft,others,rawalpindi,punjab,26913,53,17,1.4278,3,3,1,submitted,1
127,pet,home,gujranwala,punjab,54235,44,39,5.4078,1,4,0,rejected,1
128,life,auto,mardan,kpk,88625,44,35,5.5098,2,8,0,rejected,1
129,pet,auto,faisalabad,punjab,65565,64,31,8.1095,0,4,0,rejected,1
130,theft,home,gujranwala,punjab,43125,45,36,2.9647,0,2,0,submitted,1
131,pet,life,rawalpindi,punjab,47280,61,8,2.4166,0,6,0,approved,0
132,pet_care,auto,rawalpindi,punjab,86389,44,33,7.1561,2,4,0,in_review,1
133,pet_care,others,sukkur,sindh,36489,56,37,8.0002,0,4,1,in_review,1
134,other,home,islamabad,islamabad,64154,61,13,26.4117,1,1,0,in_review,0
135,pet_care,pet,multan,punjab,27852,64,44,1.1632,0,3,0,rejected,1
136,damage,life,islamabad,islamabad,23017,53,20,1.924,0,2,0,rejected,1
137,pet_care,pet,islamabad,islamabad,20544,58,32,0.9483,0,2,0,approved,1
138,pet,pet,multan,punjab,41575,58,18,4.8631,1,7,0,submitted,0
139,accident,home,karachi,sindh,69044,64,25,11.7262,1,2,0,in_review,1
140,pet,pet,quetta,balochistan,49815,61,6,2.5524,0,2,0,in_review,0
141,medical,others,sukkur,sindh,36320,64,8,2.4788,2,6,0,rejected,1
142,other,life,rawalpindi,punjab,22763,58,32,1.5834,1,3,0,approved,1
143,theft,pet,peshawar,kpk,192544,64,44,16.6259,1,3,3,rejected,1
144,other,pet,rawalpindi,punjab,61320,56,24,3.283,2,3,0,approved,0
145,life,life,karachi,sindh,30674,58,32,4.7468,2,7,1,rejected,1
146,pet,life,abbottabad,kpk,38457,58,11,2.2391,2,4,0,in_review,0
147,medical,auto,gujranwala,punjab,100842,64,31,5.0964,0,4,2,in_review,1
148,other,others,karachi,sindh,70463,45,18,4.8838,0,3,0,submitted,0
149,pet,life,sukkur,sindh,24444,53,37,1.0054,0,5,2,rejected,1
150,accident,home,karachi,sindh,52738,64,8,4.2796,3,4,0,submitted,1
151,medical,life,sialkot,punjab,419505,53,5,38.6569,0,5,1,approved,0
152,damage,pet,islamabad,islamabad,5273,64,18,0.7263,0,4,0,in_review,0
153,pet,others,hyderabad,sindh,100598,45,12,17.0592,0,5,0,in_review,0
154,accident,life,quetta,balochistan,55891,61,11,5.005,2,6,0,submitted,0
155,damage,auto,hyderabad,sindh,26241,64,17,2.1681,0,5,0,in_review,0
156,medical,home,abbottabad,kpk,34078,44,43,6.3425,1,6,2,in_review,1
157,medical,auto,rawalpindi,punjab,48025,58,35,2.7972,1,7,0,rejected,1
158,other,home,sukkur,sindh,38876,45,36,2.4088,0,4,2,rejected,1
159,damage,auto,sialkot,punjab,27422,58,45,1.4783,0,4,0,approved,1
160,pet,pet,hyderabad,sindh,10197,64,19,0.5104,0,6,0,rejected,1
161,accident,pet,sialkot,punjab,19750,61,41,0.8078,0,3,0,submitted,1
162,pet,auto,abbottabad,kpk,30055,64,14,2.3307,1,3,0,submitted,0
163,medical,auto,hyderabad,sindh,18841,64,7,1.4671,2,5,0,approved,0
164,theft,home,peshawar,kpk,28222,53,3,10.8546,1,4,0,rejected,1
165,accident,auto,sukkur,sindh,47959,64,43,4.3686,0,1,3,rejected,1
166,pet_care,home,sukkur,sindh,51001,64,31,2.4418,4,9,0,in_review,1
167,auto,auto,gujranwala,punjab,12628,53,15,0.9128,0,5,0,submitted,0
168,pet,pet,karachi,sindh,39171,53,16,1.9822,0,0,2,in_review,0
169,medical,home,gujranwala,punjab,71345,53,4,5.1479,2,6,1,rejected,1
170,home,life,lahore,punjab,34788,53,38,4.1218,0,1,0,in_review,1
171,pet,life,gujranwala,punjab,5714,45,29,0.5674,2,7,0,in_review,0
172,home,life,karachi,sindh,41108,64,9,13.7118,0,4,0,submitted,0
173,medical,life,multan,punjab,41892,64,35,3.0039,0,6,0,submitted,1
174,home,auto,rawalpindi,punjab,29229,64,34,1.506,0,6,1,approved,1
175,auto,auto,islamabad,islamabad,8812,53,0,0.3975,0,2,0,submitted,0
176,accident,home,sukkur,sindh,31595,44,17,1.614,0,6,0,submitted,0
177,damage,home,faisalabad,punjab,18567,44,33,0.9938,2,4,1,approved,1
178,auto,pet,peshawar,kpk,235110,64,41,24.8294,0,3,0,submitted,0
179,accident,auto,faisalabad,punjab,163003,45,21,9.117,2,2,0,submitted,0
180,theft,life,sukkur,sindh,48896,64,20,2.4491,3,7,0,submitted,1
181,pet_care,auto,peshawar,kpk,71967,64,43,7.6732,0,5,0,approved,1
182,home,home,faisalabad,punjab,23211,61,38,1.467,3,5,0,in_review,1
183,life,pet,multan,punjab,41403,61,11,3.1464,0,4,0,rejected,1
184,theft,life,rawalpindi,punjab,88673,64,24,6.356,0,0,0,in_review,0
185,pet_care,home,rawalpindi,punjab,15127,61,35,3.4695,0,0,0,approved,1
186,home,pet,lahore,punjab,19878,53,35,1.7968,1,2,0,rejected,1
187,pet_care,life,hyderabad,sindh,11017,44,26,1.754,0,0,0,rejected,1
188,life,others,peshawar,kpk,33682,61,0,4.2598,0,4,0,in_review,0
189,auto,others,rawalpindi,punjab,18518,64,25,1.6324,0,5,0,rejected,1
190,pet_care,pet,sialkot,punjab,83589,56,34,15.9795,1,5,0,submitted,1
191,medical,pet,quetta,balochistan,49526,53,19,4.4836,0,1,1,submitted,1
192,other,pet,peshawar,kpk,72663,61,44,4.9657,0,6,3,approved,1
193,medical,life,rawalpindi,punjab,54084,61,41,2.3826,3,5,3,submitted,1
194,theft,life,multan,punjab,86015,53,44,4.7175,0,3,0,rejected,1
195,accident,pet,faisalabad,punjab,16252,53,29,1.4537,0,2,0,submitted,0
196,life,life,faisalabad,punjab,11824,56,6,1.0428,3,8,0,rejected,1
197,home,others,karachi,sindh,18108,56,11,1.0882,1,4,0,rejected,1
198,auto,pet,lahore,punjab,19728,45,45,0.8022,1,7,1,rejected,1
199,medical,pet,faisalabad,punjab,60855,64,40,6.0276,1,5,0,approved,1
200,life,others,rawalpindi,punjab,57107,45,39,2.4227,1,3,0,in_review,1
201,home,auto,sukkur,sindh,31369,61,24,2.2046,0,5,0,rejected,1
202,life,life,rawalpindi,punjab,21558,64,3,2.8254,3,6,0,submitted,1
203,pet,pet,karachi,sindh,34749,58,28,1.4517,0,4,0,rejected,1
204,pet_care,auto,sukkur,sindh,14129,45,31,1.2893,1,3,1,in_review,1
205,accident,pet,sukkur,sindh,281958,64,19,32.5549,0,2,1,approved,0
206,theft,auto,multan,punjab,297028,61,39,14.3043,0,1,1,rejected,1
207,other,life,sukkur,sindh,43469,44,45,4.0587,0,2,2,approved,1
208,auto,home,gujranwala,punjab,9516,61,15,0.4139,0,4,0,submitted,0
209,theft,home,karachi,sindh,128453,58,23,6.983,3,5,0,approved,1
210,life,life,islamabad,islamabad,77495,53,27,21.6769,0,2,1,in_review,0
211,damage,others,islamabad,islamabad,119733,45,1,6.88,3,4,0,approved,1
212,auto,auto,mardan,kpk,84554,45,17,14.5232,1,3,0,rejected,0
213,pet_care,auto,karachi,sindh,22474,53,37,0.9781,0,3,0,in_review,1
214,auto,auto,hyderabad,sindh,22935,45,6,6.0039,0,2,0,rejected,1
215,damage,home,sukkur,sindh,26024,56,40,1.304,2,6,0,rejected,1
216,theft,auto,quetta,balochistan,45457,64,27,8.2126,1,2,0,approved,0
217,other,others,mardan,kpk,75380,53,38,3.5209,1,3,0,rejected,1
218,theft,auto,hyderabad,sindh,49387,64,0,2.204,3,4,0,submitted,1
219,damage,pet,quetta,balochistan,37327,61,32,9.5932,0,3,0,rejected,1
220,pet_care,home,sukkur,sindh,19019,45,41,2.3313,0,3,1,rejected,0
221,theft,pet,faisalabad,punjab,43629,56,42,2.6675,0,5,0,approved,1
222,home,others,sukkur,sindh,20151,45,17,2.0161,1,1,0,submitted,0
223,theft,life,mardan,kpk,53680,64,32,2.632,0,6,0,in_review,1
224,theft,others,abbottabad,kpk,15463,64,2,2.9292,0,3,0,rejected,1
225,accident,others,quetta,balochistan,68869,53,20,2.7662,0,5,0,approved,0
226,theft,others,abbottabad,kpk,10464,44,18,3.2447,0,4,0,in_review,0
227,other,life,mardan,kpk,19357,53,31,0.8837,1,5,1,rejected,1
228,auto,home,multan,punjab,8282,64,0,0.4303,0,5,0,in_review,0
229,pet,auto,karachi,sindh,16869,53,2,0.9573,2,6,0,in_review,0
230,theft,others,faisalabad,punjab,7951,56,27,0.4402,0,2,1,submitted,0
231,home,life,hyderabad,sindh,32418,64,7,3.1138,3,4,0,submitted,1
232,theft,home,rawalpindi,punjab,13047,64,38,0.5441,0,6,0,approved,1
233,home,pet,sukkur,sindh,52563,64,11,16.934,3,9,0,rejected,1
234,theft,auto,faisalabad,punjab,21274,64,25,11.2501,1,6,0,in_review,0
235,theft,home,faisalabad,punjab,110919,45,8,13.9014,2,8,1,approved,1
236,life,home,rawalpindi,punjab,24971,64,31,1.2298,0,3,0,rejected,1
237,pet_care,life,hyderabad,sindh,20809,58,26,3.2667,0,2,0,submitted,0
238,pet,auto,abbottabad,kpk,71622,58,34,3.7083,0,4,0,submitted,1
239,accident,life,peshawar,kpk,6200,64,30,0.7146,1,2,3,approved,0
240,medical,life,sukkur,sindh,5000,56,11,1.5006,0,2,1,in_review,0
241,accident,life,peshawar,kpk,177400,58,11,8.8842,0,0,0,rejected,0
242,life,home,sialkot,punjab,21373,56,45,0.9884,2,8,1,approved,0
243,other,auto,quetta,balochistan,113004,61,42,22.0109,1,3,0,rejected,1
244,auto,pet,abbottabad,kpk,64244,56,37,5.4005,0,5,0,rejected,1
245,accident,others,karachi,sindh,13468,56,31,0.6702,0,0,0,in_review,1
246,theft,life,hyderabad,sindh,22403,64,4,11.961,0,0,1,approved,0
247,auto,auto,karachi,sindh,90089,45,24,5.1022,2,8,1,rejected,1
248,theft,home,gujranwala,punjab,17721,45,35,8.2156,0,4,2,approved,1
249,damage,others,karachi,sindh,12958,61,12,1.9495,1,6,2,in_review,0
250,pet_care,auto,faisalabad,punjab,25155,56,31,8.047,0,0,0,in_review,1
251,other,pet,multan,punjab,25587,44,7,5.4696,1,4,0,in_review,0
252,pet,pet,rawalpindi,punjab,93325,64,28,6.8335,0,3,0,in_review,0
253,damage,home,faisalabad,punjab,21461,53,37,0.9174,1,7,0,submitted,1
254,life,others,multan,punjab,21738,64,45,1.2708,0,4,1,rejected,1
255,life,auto,rawalpindi,punjab,62631,45,27,7.4181,4,7,0,rejected,1
256,pet_care,life,mardan,kpk,8627,64,35,2.3348,2,6,0,approved,1
257,other,others,sukkur,sindh,17970,45,36,1.1784,3,7,1,in_review,1
258,home,pet,gujranwala,punjab,63475,64,30,4.5175,0,3,0,submitted,1
259,home,auto,lahore,punjab,23800,45,31,1.3942,4,5,0,submitted,1
260,home,life,mardan,kpk,43389,53,28,2.8628,2,5,1,in_review,0
261,pet,auto,faisalabad,punjab,62463,64,33,5.3415,0,6,0,approved,1
262,life,home,sialkot,punjab,17405,61,29,0.7078,1,1,0,rejected,1
263,other,pet,rawalpindi,punjab,44635,44,10,2.6177,1,6,0,approved,0
264,damage,others,quetta,balochistan,173449,53,43,20.3531,0,3,0,approved,1
265,damage,auto,peshawar,kpk,12222,44,19,6.8779,0,3,1,submitted,0
266,life,life,abbottabad,kpk,83333,64,6,4.4899,0,5,3,in_review,0
267,other,others,gujranwala,punjab,62905,44,21,5.5767,1,7,0,in_review,0
268,pet,auto,lahore,punjab,29213,64,8,1.3805,1,3,0,submitted,0
269,accident,others,mardan,kpk,76331,53,45,3.7705,1,6,1,in_review,1
270,damage,others,rawalpindi,punjab,5196,64,11,0.467,1,2,0,in_review,0
271,home,life,gujranwala,punjab,5000,64,30,0.2417,2,6,0,approved,0
272,medical,others,faisalabad,punjab,27990,56,3,1.1758,0,1,0,submitted,0
273,damage,home,hyderabad,sindh,46433,64,40,3.7449,0,2,0,rejected,1
274,damage,pet,quetta,balochistan,13221,61,27,3.0157,0,3,0,approved,0
275,home,home,sialkot,punjab,8283,53,40,0.4383,0,2,0,approved,1
276,other,life,rawalpindi,punjab,74047,58,18,20.3482,1,5,0,submitted,0
277,damage,life,hyderabad,sindh,57665,64,25,4.3452,0,5,3,rejected,1
278,other,others,rawalpindi,punjab,20142,61,2,3.639,2,4,1,approved,0
279,accident,home,abbottabad,kpk,32922,58,16,15.3411,1,2,0,approved,0
280,theft,others,gujranwala,punjab,43871,45,6,2.0026,0,6,0,rejected,1
281,pet_care,others,multan,punjab,56712,58,2,4.2873,2,7,2,in_review,0
282,accident,home,faisalabad,punjab,49350,45,5,2.4295,1,1,2,rejected,1
283,pet_care,life,hyderabad,sindh,17176,44,2,5.4683,0,5,0,approved,0
284,accident,home,islamabad,islamabad,49220,58,22,8.1571,3,5,1,approved,1
285,home,auto,faisalabad,punjab,27353,58,24,1.8694,1,6,2,rejected,1
286,accident,auto,faisalabad,punjab,123911,58,36,8.1887,0,3,1,approved,1
287,damage,pet,hyderabad,sindh,105868,44,4,20.3592,1,1,1,rejected,1
288,home,others,sukkur,sindh,51138,53,42,2.1261,0,5,0,submitted,1
289,pet,others,lahore,punjab,47222,58,30,25.1047,2,2,1,in_review,0
290,pet_care,home,sukkur,sindh,41170,45,15,4.68,0,6,0,approved,0
291,life,life,faisalabad,punjab,31112,64,35,1.7482,2,8,0,in_review,1
292,pet,auto,abbottabad,kpk,32775,53,3,1.3946,2,4,0,submitted,0
293,home,pet,faisalabad,punjab,60746,64,21,12.9467,2,8,0,in_review,0
294,accident,auto,hyderabad,sindh,250154,45,26,40.9954,0,1,0,submitted,0
295,medical,life,faisalabad,punjab,49174,58,28,3.2607,1,5,0,submitted,1
296,accident,others,karachi,sindh,34420,56,11,1.665,1,2,0,in_review,0
297,auto,pet,peshawar,kpk,63429,44,21,2.6219,0,1,0,in_review,0
298,pet,life,mardan,kpk,46918,44,39,2.389,1,6,0,rejected,1
299,home,home,quetta,balochistan,45729,61,42,3.5063,1,7,0,submitted,1
300,pet,home,lahore,punjab,6900,44,12,0.4936,1,2,3,in_review,0
301,accident,life,multan,punjab,85229,44,15,4.4314,1,1,2,submitted,0
302,home,others,lahore,punjab,58226,53,28,30.263,2,7,1,in_review,0
303,pet,others,multan,punjab,24678,45,43,3.1477,0,1,1,approved,1
304,auto,life,sukkur,sindh,9200,64,16,0.9057,0,5,2,approved,0
305,home,others,lahore,punjab,61569,64,31,2.7996,0,5,0,rejected,1
306,pet,home,quetta,balochistan,11487,45,25,0.6363,0,1,0,in_review,0
307,medical,others,sukkur,sindh,58136,53,41,3.4077,3,8,2,submitted,1
308,theft,pet,gujranwala,punjab,40679,58,32,2.1185,0,2,2,rejected,1
309,theft,home,rawalpindi,punjab,41665,53,13,2.1782,2,5,1,rejected,1
310,auto,home,mardan,kpk,13513,64,21,0.5635,0,0,0,in_review,0
311,other,auto,gujranwala,punjab,22753,64,27,1.5315,0,5,0,approved,0
312,other,home,quetta,balochistan,23343,44,18,1.1283,1,3,1,submitted,0
313,accident,pet,rawalpindi,punjab,6582,44,34,0.3468,3,4,0,in_review,1
314,accident,others,islamabad,islamabad,43708,45,35,2.22,0,5,1,in_review,1
315,pet,auto,rawalpindi,punjab,20404,64,36,2.7101,2,6,0,approved,1
316,theft,life,faisalabad,punjab,71625,64,21,8.9891,0,5,0,in_review,0
317,medical,life,hyderabad,sindh,16677,56,44,1.0253,1,3,1,submitted,1
318,home,auto,quetta,balochistan,90418,64,17,10.324,0,5,0,submitted,0
319,home,life,hyderabad,sindh,6608,44,5,0.3375,2,3,2,rejected,1
320,theft,home,lahore,punjab,107442,61,37,5.9298,1,2,2,in_review,1
321,pet,pet,abbottabad,kpk,27813,44,37,4.3662,0,4,0,submitted,1
322,accident,auto,islamabad,islamabad,117139,58,8,5.4181,0,4,2,rejected,1
323,life,life,lahore,punjab,61419,64,16,7.0841,0,5,0,in_review,0
324,life,home,lahore,punjab,14518,44,33,0.6382,2,4,0,rejected,1
325,auto,life,peshawar,kpk,17675,58,22,0.7716,1,5,0,rejected,1
326,medical,home,sukkur,sindh,24385,64,10,1.0797,1,7,0,rejected,1
327,home,home,hyderabad,sindh,34841,61,10,1.4748,0,0,0,rejected,1
328,pet,home,peshawar,kpk,14408,61,11,2.2826,1,5,0,in_review,0
329,medical,pet,peshawar,kpk,71950,56,26,4.2456,1,7,1,in_review,0
330,home,pet,peshawar,kpk,12448,45,8,0.597,0,4,1,submitted,0
331,other,home,rawalpindi,punjab,171007,45,34,10.0045,0,5,0,approved,1
332,auto,others,karachi,sindh,246231,53,27,18.0574,3,6,1,submitted,1
333,other,home,karachi,sindh,7195,44,5,1.2222,1,5,0,rejected,0
334,accident,others,sukkur,sindh,38132,64,13,7.1129,0,0,0,in_review,0
335,pet,pet,peshawar,kpk,29767,58,35,2.2081,0,4,0,in_review,1
336,other,life,quetta,balochistan,30258,45,42,1.2292,1,4,1,rejected,1
337,pet,pet,quetta,balochistan,120991,64,43,9.6109,0,5,0,approved,1
338,life,others,karachi,sindh,15293,64,5,3.4852,1,4,0,in_review,0
339,other,home,quetta,balochistan,53427,44,12,7.3764,0,6,0,rejected,1
340,accident,life,multan,punjab,24961,53,37,1.087,0,5,1,approved,1
341,pet,others,sialkot,punjab,97604,53,38,7.5744,0,3,0,in_review,1
342,pet,home,sukkur,sindh,36585,44,7,9.451,2,8,1,in_review,0
343,auto,others,hyderabad,sindh,32279,64,37,3.4082,0,2,0,rejected,1
