id,claim_type,policy_category,city,city_region,estimated_amount_pkr,description_length,days_incident_to_submit,amount_to_premium_ratio,user_claims_7d,user_claims_30d,user_rejected_claims,status,high_risk
104,home,home,mardan,kpk,66270,44,4,2.926,0,4,0,approved,0
105,life,life,quetta,balochistan,129124,64,29,6.4653,2,7,0,approved,0
106,pet_care,pet,peshawar,kpk,10113,58,14,3.0278,0,2,1,submitted,1
107,theft,auto,hyderabad,sindh,26382,64,28,1.2859,0,6,0,approved,0
108,pet,pet,lahore,punjab,6222,56,16,0.3826,0,5,0,approved,0
109,damage,auto,sialkot,punjab,12269,64,21,1.1393,1,6,0,approved,0
110,auto,auto,gujranwala,punjab,13869,61,21,0.6026,0,5,2,rejected,1
111,home,home,abbottabad,kpk,227816,45,26,9.2872,1,4,0,rejected,1
112,medical,auto,quetta,balochistan,25424,45,25,1.4583,0,4,1,approved,0
113,home,home,peshawar,kpk,19624,56,22,1.4175,1,1,0,approved,0
114,life,life,quetta,balochistan,33867,58,30,2.0893,2,3,0,in_review,0
115,life,life,quetta,balochistan,60364,53,5,4.3077,2,3,2,approved,0
116,home,home,mardan,kpk,74328,56,24,4.0385,0,4,0,in_review,0
117,medical,auto,sialkot,punjab,43577,53,11,18.3637,0,0,0,submitted,1
118,home,home,rawalpindi,punjab,5851,56,22,2.1238,1,4,0,rejected,1
119,pet_care,pet,islamabad,islamabad,14757,61,16,2.3061,0,2,0,approved,0
120,other,pet,faisalabad,punjab,62275,64,17,12.1346,1,5,0,approved,0
121,other,life,multan,punjab,15005,64,2,0.7429,0,4,0,approved,0
122,accident,life,islamabad,islamabad,11408,44,11,0.6748,1,3,1,submitted,0
123,theft,auto,rawalpindi,punjab,13021,56,20,4.4109,2,7,1,approved,0
124,damage,home,mardan,kpk,16868,58,12,1.0225,0,6,0,submitted,0
125,accident,life,gujranwala,punjab,58926,58,12,10.564,2,5,0,approved,0
126,home,home,quetta,balochistan,52026,56,19,12.3665,0,2,0,approved,0
127,life,life,rawalpindi,punjab,50749,64,23,2.1056,1,4,0,in_review,0
128,theft,auto,sialkot,punjab,70935,64,30,3.8737,0,4,0,approved,0
129,medical,auto,sialkot,punjab,20481,64,11,1.4582,0,0,0,approved,0
130,pet_care,pet,faisalabad,punjab,20426,45,12,8.6956,0,2,1,approved,0
131,life,life,faisalabad,punjab,170994,58,28,28.753,4,10,2,rejected,1
132,home,home,sukkur,sindh,23466,56,5,1.2181,1,5,0,submitted,0
133,medical,auto,lahore,punjab,61831,56,25,4.6402,1,1,0,submitted,0
134,life,life,quetta,balochistan,46403,56,11,3.111,2,8,1,submitted,0
135,damage,auto,sukkur,sindh,62553,56,9,18.8697,0,5,0,approved,0
136,pet_care,pet,gujranwala,punjab,16903,44,4,2.131,1,1,0,in_review,0
137,damage,home,abbottabad,kpk,52410,64,26,2.3864,2,2,0,submitted,0
138,pet_care,pet,quetta,balochistan,9342,44,15,0.4614,1,3,0,approved,0
139,pet_care,pet,faisalabad,punjab,5035,58,15,0.2092,0,4,0,approved,0
140,home,home,rawalpindi,punjab,37213,58,7,2.728,0,3,0,approved,0
141,auto,auto,multan,punjab,37338,58,5,5.5455,4,7,2,rejected,1
142,auto,auto,multan,punjab,29887,58,9,3.496,1,7,0,approved,0
143,theft,auto,rawalpindi,punjab,73487,64,11,7.2287,0,4,0,approved,0
144,auto,auto,quetta,balochistan,34401,61,3,1.7626,0,2,0,approved,0
145,other,others,karachi,sindh,118451,58,16,6.6226,0,4,0,approved,0
146,auto,auto,peshawar,kpk,27389,44,15,2.1873,0,0,0,in_review,0
147,other,life,quetta,balochistan,36138,53,8,1.5029,1,5,0,submitted,0
148,auto,auto,islamabad,islamabad,13038,45,22,0.5477,0,3,0,approved,0
149,auto,auto,islamabad,islamabad,44954,64,17,12.6989,4,7,2,rejected,1
150,pet,pet,sukkur,sindh,42951,44,21,3.2765,1,2,2,rejected,1
151,pet_care,pet,mardan,kpk,18308,64,15,2.2079,1,7,1,approved,0
152,pet,pet,karachi,sindh,8080,45,22,0.6308,0,3,0,approved,0
153,pet,pet,sukkur,sindh,8400,53,23,0.3455,0,5,2,rejected,1
154,theft,auto,sialkot,punjab,51792,58,29,3.0504,0,1,1,approved,0
155,accident,auto,abbottabad,kpk,7954,64,27,0.3916,2,3,0,in_review,0
156,accident,life,quetta,balochistan,5955,44,27,0.3358,2,2,0,in_review,0
157,home,home,hyderabad,sindh,41141,56,30,1.8274,2,5,0,approved,0
158,life,life,mardan,kpk,18130,53,9,2.3852,0,6,0,approved,0
159,home,home,karachi,sindh,21757,44,0,0.9286,0,3,1,approved,0
160,other,home,gujranwala,punjab,16581,45,21,0.7235,0,1,0,submitted,0
161,pet_care,pet,abbottabad,kpk,10000,56,30,0.8955,0,3,1,approved,0
162,pet,pet,quetta,balochistan,25417,45,19,1.3298,0,4,1,in_review,1
163,accident,auto,peshawar,kpk,15206,58,16,0.7968,0,1,1,submitted,0
164,life,life,hyderabad,sindh,62301,58,1,10.6991,1,3,1,submitted,0
165,medical,life,lahore,punjab,41923,45,1,2.7253,4,7,0,in_review,1
166,auto,auto,karachi,sindh,16803,56,21,1.0374,1,3,0,approved,0
167,damage,home,islamabad,islamabad,20317,61,13,12.5958,2,3,1,approved,0
168,theft,home,quetta,balochistan,10901,64,28,0.4712,0,0,0,in_review,1
169,accident,auto,mardan,kpk,25229,64,6,8.5551,0,2,0,approved,0
170,other,others,quetta,balochistan,41947,56,28,1.7822,4,8,1,rejected,1
171,other,auto,abbottabad,kpk,17626,61,11,0.7424,1,3,0,approved,0
172,damage,auto,multan,punjab,9554,58,25,1.0754,2,6,0,approved,0
173,auto,auto,gujranwala,punjab,21561,64,14,2.6416,0,5,1,rejected,1
174,other,others,lahore,punjab,5000,53,23,1.2873,0,6,2,submitted,1
175,medical,life,mardan,kpk,255653,53,34,47.8393,1,6,0,in_review,1
176,pet_care,pet,hyderabad,sindh,15364,58,11,0.8092,0,6,3,in_review,1
177,medical,auto,sialkot,punjab,66031,61,23,4.3837,0,1,0,submitted,0
178,life,life,gujranwala,punjab,58780,64,25,3.3567,0,5,0,submitted,0
179,accident,auto,islamabad,islamabad,53040,53,26,13.479,0,1,0,approved,0
180,other,others,hyderabad,sindh,21614,61,17,0.9355,0,4,1,approved,0
181,pet,pet,quetta,balochistan,6993,44,16,0.9483,2,4,2,in_review,0
182,life,life,mardan,kpk,8991,64,2,1.0102,0,3,0,approved,0
183,damage,home,hyderabad,sindh,32773,45,27,2.0851,2,2,0,approved,0
184,other,pet,gujranwala,punjab,10487,64,21,3.4668,0,6,0,approved,0
185,auto,auto,gujranwala,punjab,32120,61,27,4.7076,1,5,0,approved,0
186,theft,auto,lahore,punjab,10212,61,10,2.1728,3,5,0,submitted,1
187,life,life,sialkot,punjab,212229,61,26,10.8164,0,4,0,approved,0
188,pet_care,pet,karachi,sindh,17576,64,12,0.7081,0,0,0,approved,0
189,pet_care,pet,rawalpindi,punjab,6422,61,17,1.4729,0,0,0,approved,0
190,home,home,lahore,punjab,20555,53,23,1.858,1,2,0,approved,0
191,pet_care,pet,rawalpindi,punjab,7240,58,9,2.0263,1,3,0,approved,0
192,other,others,multan,punjab,9203,61,30,0.5577,0,4,0,approved,0
193,auto,auto,gujranwala,punjab,40407,64,15,3.3653,0,3,3,in_review,1
194,life,life,sialkot,punjab,11247,45,11,0.8137,3,4,2,in_review,1
195,pet,pet,mardan,kpk,19475,44,25,1.1714,2,2,2,rejected,1
196,life,life,abbottabad,kpk,17470,61,22,1.5294,1,1,0,approved,0
197,pet,pet,sukkur,sindh,17452,45,28,6.4541,0,1,0,approved,0
198,accident,life,quetta,balochistan,85143,45,0,6.8858,0,4,1,approved,0
199,medical,auto,sialkot,punjab,45343,56,22,3.1673,0,0,0,in_review,0
200,theft,home,islamabad,islamabad,12878,53,25,2.0967,0,2,0,approved,0
201,home,home,gujranwala,punjab,60544,64,27,20.4265,1,6,1,submitted,0
202,pet,pet,sukkur,sindh,8076,53,14,1.197,1,6,0,approved,0
203,accident,auto,hyderabad,sindh,27145,53,6,1.2985,0,5,1,rejected,1
204,pet,pet,sialkot,punjab,7693,58,21,0.6316,0,5,0,approved,0
205,theft,auto,sialkot,punjab,45197,44,22,2.7387,2,6,0,approved,0
206,pet_care,pet,rawalpindi,punjab,18787,56,13,1.3681,1,4,0,approved,0
207,damage,home,hyderabad,sindh,11846,64,14,1.0804,2,2,1,approved,0
208,pet,pet,karachi,sindh,10621,58,14,0.4437,0,4,0,approved,0
209,pet_care,pet,sukkur,sindh,6113,58,23,0.5578,0,0,0,approved,0
210,home,home,quetta,balochistan,61198,58,1,3.834,0,6,1,in_review,0
211,medical,life,quetta,balochistan,443113,61,24,21.3394,0,1,1,submitted,0
212,other,life,sukkur,sindh,26365,44,22,2.4617,0,2,2,submitted,1
213,theft,home,quetta,balochistan,33289,56,27,2.2212,0,5,0,submitted,0
214,auto,auto,rawalpindi,punjab,41241,58,12,2.0195,0,6,2,rejected,1
215,pet_care,pet,hyderabad,sindh,37938,58,23,2.1689,1,6,0,rejected,1
216,medical,auto,islamabad,islamabad,53527,64,9,6.3413,0,1,0,approved,0
217,accident,auto,faisalabad,punjab,58448,56,3,2.6546,0,0,3,submitted,1
218,damage,auto,rawalpindi,punjab,10171,64,2,0.9706,1,6,0,approved,0
219,medical,auto,abbottabad,kpk,51985,58,7,11.5831,0,5,0,submitted,0
220,damage,auto,faisalabad,punjab,13412,45,3,1.4899,0,2,0,submitted,0
221,damage,home,faisalabad,punjab,30421,58,5,1.611,0,1,0,approved,0
222,life,life,faisalabad,punjab,30665,61,23,6.3992,0,3,0,approved,0
223,theft,home,sukkur,sindh,26150,64,24,1.2339,2,7,2,in_review,1
224,medical,auto,gujranwala,punjab,217464,53,8,9.5913,0,4,0,approved,0
225,home,home,rawalpindi,punjab,122882,56,11,8.6689,1,7,0,approved,0
226,medical,life,lahore,punjab,55685,61,16,3.8298,0,3,0,approved,0
227,pet_care,pet,gujranwala,punjab,12281,56,25,3.0034,0,3,0,approved,0
228,theft,auto,mardan,kpk,160183,53,1,10.1158,0,3,0,approved,0
229,damage,home,lahore,punjab,24160,44,16,0.9783,0,1,1,submitted,0
230,theft,home,sialkot,punjab,12642,45,22,0.8121,0,4,0,approved,0
231,home,home,gujranwala,punjab,211973,53,8,43.5173,1,1,0,approved,0
232,life,life,karachi,sindh,164897,64,7,25.6969,0,5,0,approved,0
233,theft,home,rawalpindi,punjab,16799,44,27,1.9062,0,4,0,approved,0
234,pet_care,pet,hyderabad,sindh,14791,53,24,1.0902,1,5,1,approved,0
235,auto,auto,multan,punjab,8521,64,28,0.4428,3,3,3,in_review,1
236,pet_care,pet,multan,punjab,30593,64,30,1.6221,4,5,2,submitted,1
237,pet,pet,mardan,kpk,9231,45,18,0.6735,0,5,1,in_review,1
238,auto,auto,multan,punjab,17694,61,25,1.6003,1,6,0,approved,0
239,medical,life,quetta,balochistan,48362,64,3,2.341,3,4,2,submitted,1
240,theft,home,quetta,balochistan,6858,64,19,0.286,0,6,0,approved,0
241,home,home,sukkur,sindh,51494,64,5,16.5896,3,9,2,rejected,1
242,life,life,quetta,balochistan,107879,61,6,17.7433,0,5,2,in_review,1
243,theft,home,faisalabad,punjab,51768,45,4,6.488,2,8,2,submitted,1
244,accident,auto,peshawar,kpk,58931,61,0,3.7552,1,2,0,approved,0
245,life,life,lahore,punjab,77460,58,9,3.5823,0,4,0,approved,0
246,auto,auto,abbottabad,kpk,28380,64,12,1.5153,0,6,0,approved,0
247,auto,auto,rawalpindi,punjab,20363,44,28,8.6504,0,3,0,in_review,0
248,damage,home,multan,punjab,11363,64,25,0.4935,1,2,0,approved,0
249,damage,home,multan,punjab,9379,64,11,0.4484,1,3,2,in_review,1
250,medical,auto,sukkur,sindh,9698,58,0,0.8341,0,4,0,submitted,0
251,home,home,lahore,punjab,166996,45,24,26.3401,2,8,0,in_review,1
252,auto,auto,sialkot,punjab,44156,58,20,3.8774,1,2,1,submitted,0
253,other,life,multan,punjab,26017,44,9,1.1162,0,5,0,approved,0
254,other,home,rawalpindi,punjab,5074,53,19,0.2389,1,1,2,in_review,1
255,medical,auto,sialkot,punjab,244036,64,28,34.8573,0,2,0,approved,0
256,theft,home,lahore,punjab,15440,61,5,1.0915,0,3,0,submitted,0
257,other,auto,rawalpindi,punjab,13838,45,30,0.8496,0,1,2,rejected,1
258,theft,auto,peshawar,kpk,13505,61,19,0.625,0,0,0,approved,0
259,pet,pet,abbottabad,kpk,8684,58,12,0.8098,0,2,0,submitted,0
260,other,pet,multan,punjab,15519,45,27,3.3174,0,3,0,approved,0
261,pet,pet,rawalpindi,punjab,20521,64,14,1.5026,0,3,0,approved,0
262,damage,home,faisalabad,punjab,15252,53,24,0.652,1,7,0,in_review,0
263,life,life,hyderabad,sindh,120750,56,28,10.6934,0,6,0,approved,0
264,medical,life,rawalpindi,punjab,177036,64,8,61.089,2,8,0,approved,0
265,home,home,sukkur,sindh,73761,61,25,4.4671,0,1,0,submitted,0
266,theft,home,peshawar,kpk,6658,58,18,1.3845,0,2,0,approved,0
267,auto,auto,karachi,sindh,34222,44,15,2.7683,2,2,0,approved,0
268,life,life,islamabad,islamabad,35160,61,8,3.9202,1,1,0,submitted,0
269,life,life,islamabad,islamabad,61672,61,9,18.4591,0,6,0,approved,0
270,medical,life,multan,punjab,23852,53,22,9.2342,0,6,0,in_review,0
271,accident,auto,sialkot,punjab,34445,58,27,1.9665,1,3,0,approved,0
272,theft,auto,lahore,punjab,30313,53,7,2.1398,1,3,0,submitted,0
273,accident,life,rawalpindi,punjab,11998,44,30,0.5282,1,6,0,approved,0
274,home,home,gujranwala,punjab,31243,61,26,3.6119,1,1,0,submitted,0
275,home,home,gujranwala,punjab,74119,44,22,3.0978,0,4,1,submitted,0
276,other,pet,abbottabad,kpk,59952,58,20,5.0077,4,6,3,in_review,1
277,other,others,islamabad,islamabad,9463,58,21,1.2253,2,7,0,approved,0
278,pet,pet,gujranwala,punjab,9739,56,23,2.073,3,5,2,rejected,1
279,pet_care,pet,quetta,balochistan,8559,45,14,0.6927,0,6,0,approved,0
280,life,life,sukkur,sindh,157727,61,9,29.0687,0,6,0,approved,0
281,other,pet,rawalpindi,punjab,43592,58,2,3.6734,0,1,0,rejected,1
282,medical,life,peshawar,kpk,50611,56,2,7.564,1,6,0,approved,0
283,accident,auto,sukkur,sindh,30966,53,0,3.8544,0,2,0,approved,0
284,pet_care,pet,faisalabad,punjab,8801,64,23,2.9356,0,5,3,submitted,1
285,home,home,rawalpindi,punjab,8889,64,3,0.604,1,7,0,approved,0
286,pet,pet,peshawar,kpk,17698,64,0,5.7629,1,4,0,approved,0
287,damage,home,mardan,kpk,31441,45,21,1.3117,1,3,0,approved,0
288,theft,home,gujranwala,punjab,41222,53,19,7.8743,1,7,0,submitted,0
289,pet_care,pet,lahore,punjab,12026,58,29,0.618,0,0,0,approved,0
290,other,pet,rawalpindi,punjab,35122,45,23,7.8908,2,7,0,approved,0
291,life,life,faisalabad,punjab,29590,45,13,4.0961,0,6,2,approved,0
292,damage,auto,sialkot,punjab,57159,45,23,3.6078,0,2,0,in_review,0
293,pet_care,pet,mardan,kpk,31330,56,25,1.8246,0,5,1,submitted,0
294,theft,auto,peshawar,kpk,71004,61,5,4.1005,1,5,0,submitted,0
295,damage,auto,hyderabad,sindh,63011,44,2,12.1175,1,1,1,submitted,0
296,other,others,multan,punjab,72985,45,22,3.1125,0,5,0,approved,0
297,auto,auto,islamabad,islamabad,90790,56,0,4.5865,0,3,1,approved,0
298,life,life,multan,punjab,16864,53,12,1.3664,0,3,1,submitted,0
299,life,life,faisalabad,punjab,50857,64,17,2.8576,2,8,1,approved,0
300,pet,pet,abbottabad,kpk,10215,64,26,0.4346,2,8,1,approved,0
301,life,life,mardan,kpk,30076,44,26,1.842,0,2,1,rejected,1
302,damage,auto,faisalabad,punjab,29356,61,29,2.9858,0,6,1,approved,0
303,auto,auto,abbottabad,kpk,42961,58,14,1.8263,1,5,0,approved,0
304,accident,life,islamabad,islamabad,28433,56,29,1.3754,1,2,1,approved,0
305,other,others,sialkot,punjab,60653,53,19,3.3662,0,2,3,rejected,1
306,auto,auto,islamabad,islamabad,29251,53,23,1.1946,0,4,1,in_review,0
307,damage,home,sukkur,sindh,36082,64,3,1.8719,1,5,0,approved,0
308,pet,pet,islamabad,islamabad,21267,61,0,1.3864,0,5,0,submitted,0
309,pet_care,pet,rawalpindi,punjab,16342,64,24,4.6268,0,3,0,submitted,0
310,medical,auto,multan,punjab,480201,64,14,26.3254,3,6,1,in_review,1
311,pet,pet,lahore,punjab,21293,64,7,2.1873,1,5,1,submitted,0
312,medical,auto,hyderabad,sindh,34080,44,5,4.6602,0,3,1,approved,0
313,home,home,quetta,balochistan,59790,64,15,2.7187,0,5,0,approved,0
314,theft,home,karachi,sindh,19138,53,7,0.9919,1,3,0,submitted,0
315,pet,pet,sukkur,sindh,6090,53,19,0.2674,3,8,3,in_review,1
316,theft,auto,gujranwala,punjab,20073,58,16,1.0454,0,2,2,rejected,1
317,theft,home,quetta,balochistan,20533,53,6,1.0735,2,5,2,in_review,1
318,auto,auto,mardan,kpk,12470,64,10,0.52,0,0,0,approved,0
319,medical,auto,karachi,sindh,47728,64,10,3.3576,0,0,0,approved,0
320,other,home,mardan,kpk,14158,44,9,3.6509,1,3,1,approved,0
321,accident,life,rawalpindi,punjab,7163,44,25,0.3774,3,4,1,submitted,1
322,home,home,sukkur,sindh,43260,45,17,2.1973,0,5,1,approved,0
323,pet,pet,rawalpindi,punjab,7447,64,25,0.9891,2,6,1,approved,0
324,theft,auto,faisalabad,punjab,34251,64,10,4.2986,0,5,0,approved,0
325,medical,auto,hyderabad,sindh,24880,56,22,1.5296,1,3,1,approved,0
326,home,home,quetta,balochistan,85950,64,8,9.8139,0,5,0,approved,0
327,pet_care,pet,sukkur,sindh,5000,44,26,0.987,2,3,2,in_review,1
328,theft,home,lahore,punjab,50233,61,18,2.7724,1,2,2,rejected,1
329,pet,pet,abbottabad,kpk,9156,44,24,1.4374,0,4,0,approved,0
330,medical,life,quetta,balochistan,27989,56,18,1.5255,1,4,2,submitted,0
331,medical,life,gujranwala,punjab,15691,64,16,1.1533,0,3,2,approved,0
332,theft,auto,islamabad,islamabad,23546,61,12,2.3248,0,5,2,approved,0
333,medical,auto,sialkot,punjab,52095,64,19,4.068,0,1,0,approved,0
334,pet_care,pet,rawalpindi,punjab,5000,45,26,0.6558,1,4,1,approved,0
335,life,life,multan,punjab,69062,64,20,3.3109,2,3,0,approved,0
336,auto,auto,mardan,kpk,11328,58,15,0.4886,0,6,0,approved,0
337,damage,auto,rawalpindi,punjab,16398,45,18,0.6842,0,3,0,rejected,1
338,pet,pet,islamabad,islamabad,12481,64,28,1.9502,2,6,1,approved,0
339,damage,home,quetta,balochistan,37365,64,11,1.5743,1,4,0,submitted,0
340,auto,auto,peshawar,kpk,31543,58,8,1.2965,1,7,0,approved,0
341,pet_care,pet,lahore,punjab,12737,53,12,0.5149,1,3,0,approved,0
342,other,life,gujranwala,punjab,18287,61,8,0.9591,1,4,0,approved,0
343,pet,pet,gujranwala,punjab,15583,56,12,1.3494,2,7,0,submitted,0
