id,signal_type,fraud_category,severity,severity_encoded,account_age_days,related_entity_count,fraudulent
170,unverified_provider,catalog,low,1,416,10,0
171,reject_rate,catalog,medium,2,16,4,0
172,unverified_provider,catalog,high,3,755,24,1
173,claim_burst,commerce,high,3,798,11,1
174,claim_burst,claims,critical,4,45,23,1
175,unverified_provider,catalog,medium,2,656,4,0
176,stale_pending_policies,claims,medium,2,579,7,1
177,claim_burst,claims,medium,2,253,14,0
178,rejected_claims_volume,account,medium,2,119,22,1
179,lead_spike,commerce,medium,2,56,20,1
180,stale_pending_policies,catalog,medium,2,24,4,0
181,lead_spike,catalog,high,3,634,22,1
182,pending_purchases,catalog,low,1,368,21,1
183,stale_pending_policies,catalog,low,1,42,14,1
184,lead_spike,commerce,high,3,10,24,1
185,duplicate_email,claims,low,1,629,30,1
186,unverified_provider,claims,critical,4,295,13,1
187,duplicate_email,claims,high,3,775,16,1
188,reject_rate,commerce,critical,4,25,24,1
189,inactive_spike,catalog,high,3,631,24,1
190,duplicate_email,commerce,medium,2,28,16,1
191,inactive_spike,catalog,high,3,118,24,0
192,other,commerce,critical,4,287,26,1
193,unverified_provider,account,critical,4,539,19,1
194,lead_spike,commerce,high,3,576,22,1
195,unverified_provider,account,high,3,77,26,1
196,lead_spike,commerce,high,3,47,17,1
197,pending_purchases,catalog,high,3,49,12,1
198,duplicate_email,account,low,1,95,11,1
199,claim_burst,claims,medium,2,137,14,1
200,inactive_spike,catalog,low,1,821,7,0
201,unverified_provider,catalog,medium,2,893,11,0
202,reject_rate,catalog,low,1,58,14,1
203,lead_spike,commerce,high,3,351,24,1
204,inactive_spike,claims,low,1,46,4,0
205,inactive_spike,catalog,medium,2,60,18,1
206,claim_burst,account,high,3,39,21,1
207,reject_rate,catalog,medium,2,521,8,1
208,other,account,critical,4,508,8,1
209,reject_rate,catalog,critical,4,83,28,1
210,other,claims,high,3,238,28,0
211,reject_rate,commerce,high,3,503,16,1
212,stale_pending_policies,catalog,high,3,303,28,1
213,unverified_provider,claims,low,1,174,5,0
214,other,claims,high,3,197,20,1
215,claim_burst,claims,critical,4,710,29,1
216,lead_spike,catalog,high,3,7,8,1
217,rejected_claims_volume,claims,medium,2,218,20,1
218,claim_burst,account,medium,2,6,11,1
219,claim_burst,claims,medium,2,30,8,0
220,pending_purchases,account,high,3,12,26,1
221,stale_pending_policies,claims,low,1,889,16,1
222,unverified_provider,catalog,medium,2,209,2,1
223,stale_pending_policies,account,high,3,180,12,1
224,claim_burst,claims,medium,2,268,8,1
225,duplicate_email,commerce,critical,4,777,27,1
226,lead_spike,commerce,low,1,135,21,1
227,unverified_provider,account,low,1,263,4,0
228,claim_burst,account,medium,2,151,24,1
229,duplicate_email,account,high,3,199,13,1
230,other,commerce,high,3,318,13,1
231,other,claims,medium,2,511,3,0
232,inactive_spike,account,low,1,387,9,0
233,reject_rate,catalog,low,1,433,18,1
234,inactive_spike,commerce,high,3,146,25,1
235,other,catalog,medium,2,472,3,0
236,unverified_provider,account,high,3,240,22,1
237,inactive_spike,commerce,critical,4,471,16,1
238,claim_burst,claims,high,3,714,15,1
239,rejected_claims_volume,commerce,high,3,685,12,1
240,lead_spike,claims,high,3,357,13,1
241,claim_burst,claims,critical,4,105,13,1
242,unverified_provider,account,medium,2,878,5,0
243,claim_burst,catalog,medium,2,110,16,1
244,lead_spike,catalog,low,1,875,21,1
245,pending_purchases,commerce,medium,2,354,20,0
246,reject_rate,claims,critical,4,718,26,1
247,reject_rate,catalog,medium,2,696,6,0
248,lead_spike,catalog,medium,2,718,11,1
249,lead_spike,claims,high,3,645,13,1
250,lead_spike,catalog,low,1,880,21,1
251,reject_rate,claims,high,3,797,8,1
252,reject_rate,catalog,low,1,40,8,0
253,lead_spike,claims,critical,4,205,24,1
254,stale_pending_policies,catalog,critical,4,525,8,1
255,pending_purchases,commerce,high,3,829,14,1
256,claim_burst,claims,critical,4,126,27,1
257,unverified_provider,account,critical,4,126,8,0
258,stale_pending_policies,catalog,high,3,595,16,1
259,lead_spike,commerce,critical,4,248,15,1
260,lead_spike,catalog,medium,2,796,10,1
261,rejected_claims_volume,claims,high,3,232,12,1
262,lead_spike,catalog,medium,2,562,28,1
263,rejected_claims_volume,catalog,critical,4,274,30,1
264,other,commerce,medium,2,185,12,1
265,claim_burst,commerce,medium,2,182,21,1
266,rejected_claims_volume,account,high,3,802,20,0
267,lead_spike,commerce,medium,2,668,28,1
268,unverified_provider,account,low,1,426,5,0
269,stale_pending_policies,claims,medium,2,795,11,0
270,inactive_spike,claims,critical,4,811,25,1
271,rejected_claims_volume,account,critical,4,608,17,1
272,rejected_claims_volume,claims,high,3,450,29,1
273,unverified_provider,account,medium,2,662,8,0
274,inactive_spike,account,medium,2,487,7,0
275,duplicate_email,account,medium,2,481,23,1
276,pending_purchases,catalog,high,3,693,10,1
277,lead_spike,commerce,low,1,362,29,1
278,stale_pending_policies,commerce,low,1,225,11,0
279,duplicate_email,claims,high,3,641,12,1
280,rejected_claims_volume,commerce,critical,4,285,14,1
281,pending_purchases,commerce,high,3,661,17,1
282,pending_purchases,catalog,high,3,279,24,1
283,pending_purchases,claims,critical,4,339,14,1
284,unverified_provider,commerce,low,1,603,1,0
285,stale_pending_policies,catalog,low,1,409,8,0
286,unverified_provider,account,critical,4,360,29,0
287,stale_pending_policies,catalog,low,1,218,4,0
288,stale_pending_policies,catalog,medium,2,104,14,1
289,inactive_spike,account,low,1,782,14,0
290,stale_pending_policies,claims,high,3,884,17,1
291,unverified_provider,account,critical,4,302,26,1
292,inactive_spike,account,low,1,659,16,1
293,lead_spike,catalog,low,1,397,27,1
294,rejected_claims_volume,claims,high,3,105,10,1
295,reject_rate,claims,low,1,438,4,1
296,other,account,low,1,46,2,0
297,unverified_provider,account,medium,2,162,12,1
298,unverified_provider,account,medium,2,528,2,0
299,lead_spike,catalog,critical,4,261,9,1
300,duplicate_email,account,critical,4,468,27,0
301,rejected_claims_volume,commerce,high,3,842,23,1
302,pending_purchases,commerce,high,3,153,29,1
303,unverified_provider,account,medium,2,389,7,0
304,other,catalog,high,3,300,16,0
305,reject_rate,commerce,low,1,668,13,1
306,other,catalog,medium,2,386,7,0
307,stale_pending_policies,claims,high,3,706,8,1
308,pending_purchases,commerce,high,3,647,9,1
309,stale_pending_policies,claims,medium,2,281,17,1
310,rejected_claims_volume,catalog,low,1,567,23,1
311,stale_pending_policies,claims,medium,2,317,13,0
312,lead_spike,catalog,medium,2,261,26,1
313,lead_spike,catalog,low,1,826,19,1
314,claim_burst,claims,high,3,266,24,1
315,inactive_spike,claims,medium,2,95,6,0
316,pending_purchases,commerce,high,3,128,24,1
317,duplicate_email,claims,critical,4,384,11,1
318,reject_rate,catalog,medium,2,324,13,0
319,pending_purchases,commerce,low,1,6,26,1
320,claim_burst,claims,critical,4,437,11,1
321,claim_burst,claims,low,1,206,13,1
322,duplicate_email,account,high,3,722,22,1
323,stale_pending_policies,account,critical,4,793,30,1
324,rejected_claims_volume,commerce,medium,2,16,29,1
325,rejected_claims_volume,claims,medium,2,241,15,1
326,other,commerce,low,1,766,1,0
327,unverified_provider,account,critical,4,10,12,1
328,other,account,high,3,334,22,1
329,inactive_spike,account,high,3,59,11,1
330,inactive_spike,catalog,medium,2,827,6,0
331,inactive_spike,account,medium,2,623,6,0
332,unverified_provider,claims,high,3,768,12,1
333,reject_rate,account,critical,4,683,28,0
334,rejected_claims_volume,commerce,medium,2,20,19,1
335,lead_spike,claims,medium,2,463,25,1
336,reject_rate,catalog,high,3,429,21,1
337,unverified_provider,account,high,3,86,13,1
338,unverified_provider,account,critical,4,20,24,0
339,rejected_claims_volume,claims,critical,4,123,16,1
340,pending_purchases,commerce,medium,2,53,15,1
341,pending_purchases,commerce,medium,2,669,17,1
342,inactive_spike,account,high,3,225,22,0
343,inactive_spike,commerce,critical,4,7,21,1
344,unverified_provider,claims,medium,2,535,4,0
345,rejected_claims_volume,claims,critical,4,624,23,1
346,inactive_spike,claims,medium,2,597,8,0
347,pending_purchases,account,high,3,681,9,1
348,rejected_claims_volume,commerce,critical,4,714,23,1
349,reject_rate,catalog,critical,4,137,29,1
350,rejected_claims_volume,claims,critical,4,38,13,1
351,unverified_provider,account,critical,4,857,10,1
352,stale_pending_policies,claims,high,3,798,30,1
353,unverified_provider,account,low,1,837,8,0
354,inactive_spike,account,medium,2,4,5,0
355,inactive_spike,claims,high,3,257,25,1
356,duplicate_email,account,critical,4,540,16,0
357,stale_pending_policies,catalog,critical,4,106,19,1
358,duplicate_email,claims,medium,2,506,26,1
359,unverified_provider,commerce,low,1,130,3,0
360,reject_rate,claims,medium,2,685,13,1
361,inactive_spike,catalog,low,1,651,10,0
362,inactive_spike,account,low,1,593,9,0
363,lead_spike,commerce,critical,4,299,18,1
364,unverified_provider,account,medium,2,842,6,0
365,stale_pending_policies,catalog,low,1,374,5,0
366,unverified_provider,account,medium,2,217,1,0
367,other,catalog,critical,4,649,9,1
368,duplicate_email,account,high,3,62,29,1
369,claim_burst,account,medium,2,239,21,1
370,unverified_provider,account,high,3,90,13,1
371,unverified_provider,commerce,medium,2,154,9,0
372,reject_rate,commerce,high,3,65,10,1
373,stale_pending_policies,commerce,medium,2,418,7,0
374,pending_purchases,commerce,high,3,366,23,1
375,unverified_provider,account,medium,2,36,9,0
376,duplicate_email,catalog,high,3,883,15,1
377,pending_purchases,commerce,medium,2,883,17,0
378,duplicate_email,account,low,1,723,22,1
379,reject_rate,catalog,high,3,754,11,1
380,claim_burst,claims,high,3,144,29,1
381,stale_pending_policies,commerce,low,1,540,15,1
382,claim_burst,catalog,high,3,648,30,1
383,duplicate_email,account,critical,4,329,23,1
384,claim_burst,claims,critical,4,894,27,1
385,reject_rate,catalog,critical,4,295,19,1
386,stale_pending_policies,catalog,critical,4,664,18,0
387,pending_purchases,catalog,medium,2,550,17,1
388,stale_pending_policies,catalog,medium,2,91,17,1
389,other,commerce,medium,2,844,4,0
390,duplicate_email,account,medium,2,757,17,1
391,pending_purchases,commerce,critical,4,235,24,1
392,pending_purchases,catalog,high,3,609,29,1
393,rejected_claims_volume,account,high,3,18,19,1
394,reject_rate,claims,critical,4,499,20,1
395,lead_spike,commerce,high,3,16,19,1
396,stale_pending_policies,account,medium,2,20,18,1
397,stale_pending_policies,commerce,critical,4,391,24,1
398,rejected_claims_volume,claims,medium,2,187,9,0
399,unverified_provider,account,low,1,475,1,0
400,lead_spike,commerce,high,3,786,20,1
401,rejected_claims_volume,account,medium,2,208,25,1
402,rejected_claims_volume,claims,high,3,125,12,1
403,duplicate_email,account,low,1,829,23,1
404,reject_rate,catalog,low,1,666,4,0
405,inactive_spike,commerce,medium,2,95,6,1
406,stale_pending_policies,account,low,1,91,11,0
407,duplicate_email,account,critical,4,325,9,1
408,claim_burst,claims,low,1,602,13,1
409,rejected_claims_volume,catalog,high,3,508,10,1
410,stale_pending_policies,catalog,medium,2,424,8,0
411,duplicate_email,catalog,critical,4,90,13,1
412,inactive_spike,catalog,high,3,406,25,1
413,pending_purchases,commerce,high,3,129,10,1
414,reject_rate,catalog,high,3,568,15,1
415,claim_burst,catalog,medium,2,36,16,1
416,stale_pending_policies,commerce,medium,2,495,5,0
417,rejected_claims_volume,claims,high,3,815,15,1
418,claim_burst,commerce,high,3,389,26,1
419,stale_pending_policies,catalog,medium,2,879,11,0
420,lead_spike,commerce,high,3,887,25,1
421,unverified_provider,claims,low,1,695,9,0
422,lead_spike,commerce,critical,4,5,30,1
423,duplicate_email,commerce,high,3,479,15,1
424,duplicate_email,account,critical,4,632,17,1
425,unverified_provider,commerce,high,3,22,30,1
426,pending_purchases,commerce,critical,4,590,28,1
427,other,claims,medium,2,31,6,0
428,reject_rate,commerce,low,1,430,15,1
429,rejected_claims_volume,catalog,high,3,187,17,1
430,pending_purchases,claims,low,1,41,27,1
431,lead_spike,claims,medium,2,757,9,1
432,rejected_claims_volume,claims,medium,2,510,30,1
433,stale_pending_policies,catalog,high,3,1,11,1
434,reject_rate,commerce,low,1,865,14,1
435,inactive_spike,commerce,high,3,555,10,1
436,other,catalog,medium,2,288,9,0
437,lead_spike,catalog,medium,2,516,30,1
438,stale_pending_policies,catalog,medium,2,439,14,1
439,rejected_claims_volume,claims,medium,2,720,25,1
440,other,claims,medium,2,557,5,0
441,duplicate_email,account,medium,2,16,28,1
442,pending_purchases,claims,high,3,495,15,1
443,inactive_spike,account,critical,4,23,28,1
444,unverified_provider,commerce,medium,2,331,4,0
445,inactive_spike,account,medium,2,455,6,0
446,reject_rate,catalog,critical,4,852,14,1
447,duplicate_email,commerce,high,3,8,16,1
448,pending_purchases,account,high,3,20,18,1
449,rejected_claims_volume,commerce,high,3,8,22,1
450,unverified_provider,catalog,high,3,757,26,1
451,other,catalog,critical,4,195,25,1
452,reject_rate,commerce,high,3,387,28,1
453,unverified_provider,claims,low,1,26,7,0
454,pending_purchases,commerce,critical,4,246,29,1
455,lead_spike,commerce,medium,2,34,19,1
456,unverified_provider,commerce,high,3,677,16,1
457,duplicate_email,account,critical,4,792,30,1
458,other,account,critical,4,142,13,1
459,duplicate_email,account,medium,2,24,28,1
460,other,account,critical,4,182,14,1
461,duplicate_email,account,high,3,671,24,1
462,unverified_provider,commerce,low,1,231,7,0
463,inactive_spike,account,medium,2,768,6,0
464,inactive_spike,account,high,3,304,23,1
465,pending_purchases,commerce,high,3,258,28,1
466,other,catalog,low,1,831,1,0
467,lead_spike,commerce,medium,2,309,19,1
468,claim_burst,claims,medium,2,649,8,1
469,pending_purchases,claims,high,3,88,12,1
470,pending_purchases,commerce,critical,4,99,15,1
471,claim_burst,catalog,medium,2,208,25,1
472,reject_rate,claims,high,3,666,11,1
473,lead_spike,commerce,medium,2,167,25,1
474,pending_purchases,account,critical,4,303,21,1
475,unverified_provider,catalog,low,1,642,12,1
476,reject_rate,catalog,critical,4,558,13,1
477,rejected_claims_volume,claims,critical,4,141,19,1
478,inactive_spike,account,low,1,107,4,0
479,rejected_claims_volume,claims,medium,2,139,21,1
480,claim_burst,account,critical,4,297,19,1
481,stale_pending_policies,commerce,low,1,660,5,0
482,lead_spike,commerce,low,1,354,11,1
483,stale_pending_policies,commerce,low,1,6,18,1
484,rejected_claims_volume,commerce,high,3,4,26,1
485,inactive_spike,account,low,1,625,6,0
486,reject_rate,commerce,critical,4,674,26,1
487,other,commerce,low,1,5,3,0
488,reject_rate,catalog,low,1,77,6,0
489,reject_rate,catalog,medium,2,710,17,1
490,reject_rate,claims,low,1,370,9,0
491,reject_rate,commerce,low,1,43,17,1
492,rejected_claims_volume,catalog,high,3,363,18,0
493,rejected_claims_volume,catalog,low,1,471,27,0
494,lead_spike,claims,medium,2,394,16,0
495,rejected_claims_volume,commerce,high,3,327,12,1
496,reject_rate,account,low,1,724,16,1
497,unverified_provider,account,high,3,615,15,1
498,pending_purchases,claims,medium,2,782,18,1
499,claim_burst,claims,high,3,416,18,0
500,lead_spike,commerce,critical,4,600,24,1
501,stale_pending_policies,claims,high,3,155,12,1
502,pending_purchases,catalog,high,3,791,17,1
503,duplicate_email,account,high,3,57,26,1
504,unverified_provider,commerce,medium,2,326,2,0
505,lead_spike,commerce,critical,4,97,30,1
506,stale_pending_policies,account,high,3,761,16,1
507,lead_spike,account,high,3,52,8,1
508,lead_spike,catalog,critical,4,290,24,1
509,claim_burst,claims,low,1,133,27,0
510,lead_spike,account,critical,4,88,12,0
511,pending_purchases,commerce,critical,4,404,8,1
512,reject_rate,commerce,low,1,416,10,0
513,inactive_spike,commerce,critical,4,619,10,1
514,lead_spike,commerce,critical,4,126,22,1
515,reject_rate,account,high,3,10,27,1
516,inactive_spike,commerce,low,1,27,6,0
517,unverified_provider,account,high,3,143,25,1
518,pending_purchases,claims,high,3,339,15,1
519,stale_pending_policies,commerce,critical,4,574,28,1
520,stale_pending_policies,catalog,high,3,536,24,1
521,claim_burst,claims,high,3,103,28,1
522,inactive_spike,commerce,medium,2,127,5,0
523,unverified_provider,claims,medium,2,569,3,0
524,lead_spike,commerce,critical,4,722,13,1
525,lead_spike,commerce,medium,2,876,23,1
526,reject_rate,commerce,critical,4,168,18,1
527,duplicate_email,account,high,3,12,28,1
528,duplicate_email,commerce,high,3,133,20,1
529,duplicate_email,claims,low,1,727,21,1
530,inactive_spike,commerce,critical,4,407,17,1
531,claim_burst,catalog,high,3,161,23,1
532,other,commerce,medium,2,656,5,0
533,inactive_spike,account,medium,2,28,14,1
534,inactive_spike,catalog,low,1,801,7,0
535,duplicate_email,commerce,critical,4,153,21,1
536,lead_spike,commerce,critical,4,27,8,1
537,inactive_spike,commerce,high,3,17,13,1
538,unverified_provider,catalog,high,3,658,29,1
539,other,commerce,low,1,328,4,0
540,duplicate_email,account,high,3,50,21,1
541,duplicate_email,account,critical,4,12,11,1
542,other,catalog,critical,4,3,13,1
543,rejected_claims_volume,claims,high,3,116,24,1
544,other,catalog,low,1,358,4,0
545,lead_spike,claims,medium,2,182,8,1
546,other,account,medium,2,223,7,0
547,claim_burst,commerce,medium,2,8,22,1
548,lead_spike,commerce,critical,4,727,30,1
549,rejected_claims_volume,catalog,high,3,155,20,1
550,reject_rate,catalog,low,1,245,13,1
551,lead_spike,commerce,high,3,888,14,1
552,stale_pending_policies,account,low,1,774,4,0
553,lead_spike,commerce,high,3,442,22,1
554,inactive_spike,account,critical,4,224,26,1
555,claim_burst,catalog,high,3,762,20,1
556,inactive_spike,account,high,3,366,29,1
557,rejected_claims_volume,account,high,3,48,27,1
558,reject_rate,commerce,critical,4,704,19,1
559,stale_pending_policies,catalog,medium,2,68,18,1
560,pending_purchases,commerce,high,3,643,15,1
561,stale_pending_policies,claims,critical,4,182,28,1
562,unverified_provider,account,high,3,669,21,1
563,pending_purchases,claims,high,3,374,19,1
564,pending_purchases,commerce,low,1,123,22,1
565,stale_pending_policies,catalog,medium,2,778,12,1
566,claim_burst,claims,high,3,244,27,1
567,stale_pending_policies,commerce,high,3,4,14,0
568,duplicate_email,commerce,medium,2,512,16,1
569,claim_burst,commerce,critical,4,16,28,1
570,unverified_provider,account,critical,4,843,17,1
571,reject_rate,commerce,critical,4,110,9,1
572,other,commerce,critical,4,415,16,1
573,reject_rate,catalog,medium,2,634,7,0
574,duplicate_email,commerce,medium,2,708,10,1
575,pending_purchases,catalog,high,3,659,8,1
576,other,catalog,critical,4,425,23,1
577,inactive_spike,account,critical,4,24,8,1
578,claim_burst,claims,low,1,697,17,1
579,reject_rate,catalog,low,1,93,7,0
580,duplicate_email,account,low,1,560,26,1
581,pending_purchases,claims,high,3,57,25,1
582,reject_rate,catalog,medium,2,417,17,0
583,claim_burst,claims,medium,2,7,13,1
584,pending_purchases,commerce,low,1,115,29,1
585,stale_pending_policies,catalog,critical,4,698,9,1
586,reject_rate,claims,critical,4,878,25,1
587,unverified_provider,claims,medium,2,550,11,0
588,stale_pending_policies,catalog,medium,2,375,18,1
589,rejected_claims_volume,claims,high,3,680,9,1
590,inactive_spike,account,critical,4,833,18,0
591,stale_pending_policies,claims,high,3,206,30,1
592,pending_purchases,catalog,high,3,209,14,0
593,reject_rate,catalog,low,1,51,6,0
594,stale_pending_policies,account,critical,4,33,25,1
595,rejected_claims_volume,claims,high,3,692,17,1
596,inactive_spike,claims,medium,2,529,5,0
597,lead_spike,claims,critical,4,425,15,1
598,lead_spike,commerce,high,3,143,9,1
599,duplicate_email,claims,critical,4,301,15,1
600,lead_spike,commerce,high,3,77,16,1
601,inactive_spike,claims,medium,2,401,4,0
602,rejected_claims_volume,claims,medium,2,559,30,1
603,inactive_spike,catalog,medium,2,441,9,0
604,duplicate_email,account,high,3,428,14,1
605,unverified_provider,account,high,3,4,23,1
606,unverified_provider,account,high,3,713,27,1
607,unverified_provider,account,critical,4,64,15,1
608,duplicate_email,commerce,high,3,855,19,1
609,pending_purchases,claims,low,1,342,19,1
610,claim_burst,claims,high,3,113,17,1
611,unverified_provider,catalog,low,1,807,3,0
612,duplicate_email,catalog,low,1,594,11,1
613,claim_burst,claims,critical,4,79,19,1
614,claim_burst,claims,high,3,93,18,0
